date,well_name,hover_open,pressure_down,temperature_down,chock_size,pressure_top,temprature_top,chocke_pressure,oil,gas,water,water_i,FLOW_KIND
2007-09-01,NO 15/9-F-5 AH,,,,,,,,,,,,injection
2007-09-02,NO 15/9-F-5 AH,,,,,,,,,,,,injection
2007-09-03,NO 15/9-F-5 AH,,,,,,,,,,,,injection
2007-09-04,NO 15/9-F-5 AH,,,,,,,,,,,,injection
2007-09-05,NO 15/9-F-5 AH,,,,,,,,,,,,injection
2007-09-06,NO 15/9-F-5 AH,,,,,,,,,,,,injection
2007-09-07,NO 15/9-F-5 AH,,,,,,,,,,,,injection
2007-09-08,NO 15/9-F-5 AH,,,,,,,,,,,,injection
2007-09-09,NO 15/9-F-5 AH,,,,,,,,,,,,injection
2007-09-10,NO 15/9-F-5 AH,,,,,,,,,,,,injection
2007-09-11,NO 15/9-F-5 AH,,,,,,,,,,,,injection
2007-09-12,NO 15/9-F-5 AH,,,,,,,,,,,,injection
2007-09-13,NO 15/9-F-5 AH,,,,,,,,,,,,injection
2007-09-14,NO 15/9-F-5 AH,,,,,,,,,,,,injection
2007-09-15,NO 15/9-F-5 AH,,,,,,,,,,,,injection
2007-09-16,NO 15/9-F-5 AH,,,,,,,,,,,,injection
2007-09-17,NO 15/9-F-5 AH,,,,,,,,,,,,injection
2007-09-18,NO 15/9-F-5 AH,,,,,,,,,,,,injection
2007-09-19,NO 15/9-F-5 AH,,,,,,,,,,,,injection
2007-09-20,NO 15/9-F-5 AH,,,,,,,,,,,,injection
2007-09-21,NO 15/9-F-5 AH,,,,,,,,,,,,injection
2007-09-22,NO 15/9-F-5 AH,,,,,,,,,,,,injection
2007-09-23,NO 15/9-F-5 AH,,,,,,,,,,,,injection
2007-09-24,NO 15/9-F-5 AH,,,,,,,,,,,,injection
2007-09-25,NO 15/9-F-5 AH,,,,,,,,,,,,injection
2007-09-26,NO 15/9-F-5 AH,,,,,,,,,,,,injection
2007-09-27,NO 15/9-F-5 AH,,,,,,,,,,,,injection
2007-09-28,NO 15/9-F-5 AH,,,,,,,,,,,,injection
2007-09-29,NO 15/9-F-5 AH,,,,,,,,,,,,injection
2007-09-30,NO 15/9-F-5 AH,,,,,,,,,,,,injection
2007-10-01,NO 15/9-F-5 AH,,,,,,,,,,,,injection
2007-10-02,NO 15/9-F-5 AH,,,,,,,,,,,,injection
2007-10-03,NO 15/9-F-5 AH,,,,,,,,,,,,injection
2007-10-04,NO 15/9-F-5 AH,,,,,,,,,,,,injection
2007-10-05,NO 15/9-F-5 AH,,,,,,,,,,,,injection
2007-10-06,NO 15/9-F-5 AH,,,,,,,,,,,,injection
2007-10-07,NO 15/9-F-5 AH,,,,,,,,,,,,injection
2007-10-08,NO 15/9-F-5 AH,,,,,,,,,,,,injection
2007-10-09,NO 15/9-F-5 AH,,,,,,,,,,,,injection
2007-10-10,NO 15/9-F-5 AH,,,,,,,,,,,,injection
2007-10-11,NO 15/9-F-5 AH,,,,,,,,,,,,injection
2007-10-12,NO 15/9-F-5 AH,,,,,,,,,,,,injection
2007-10-13,NO 15/9-F-5 AH,,,,,,,,,,,,injection
2007-10-14,NO 15/9-F-5 AH,,,,,,,,,,,,injection
2007-10-15,NO 15/9-F-5 AH,,,,,,,,,,,,injection
2007-10-16,NO 15/9-F-5 AH,,,,,,,,,,,,injection
2007-10-17,NO 15/9-F-5 AH,,,,,,,,,,,,injection
2007-10-18,NO 15/9-F-5 AH,,,,,,,,,,,,injection
2007-10-19,NO 15/9-F-5 AH,,,,,,,,,,,,injection
2007-10-20,NO 15/9-F-5 AH,,,,,,,,,,,,injection
2007-10-21,NO 15/9-F-5 AH,,,,,,,,,,,,injection
2007-10-22,NO 15/9-F-5 AH,,,,,,,,,,,,injection
2007-10-23,NO 15/9-F-5 AH,,,,,,,,,,,,injection
2007-10-24,NO 15/9-F-5 AH,,,,,,,,,,,,injection
2007-10-25,NO 15/9-F-5 AH,,,,,,,,,,,,injection
2007-10-26,NO 15/9-F-5 AH,,,,,,,,,,,,injection
2007-10-27,NO 15/9-F-5 AH,,,,,,,,,,,,injection
